Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017
48201211200,14000US48201211200,"Census Tract 2112, Harris County, Texas","Census Tract 2112, Harris County, Texas",tx,140,0,ACSSF,6581,,,,,48,201,,,,211200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619,3983.383,0.657481425,2619,169,261,82,49,135,499,352,277,415,219,97,64,2619,858,1719,0,0,0,41,1,1923,704,1219,673,116,34,0,0,979,240,94,154,57,87,92,60,6,41,65,7,21,55,0,0,0
48201211300,14000US48201211300,"Census Tract 2113, Harris County, Texas","Census Tract 2113, Harris County, Texas",tx,140,0,ACSSF,6582,,,,,48,201,,,,211300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5483,5148.986,1.064869799,5483,558,384,541,169,570,712,719,609,701,348,141,31,5483,1641,3263,0,7,0,248,324,3261,996,2265,1247,288,112,8,8,2053,488,402,208,206,152,120,34,112,19,113,49,28,68,0,26,28
48201211400,14000US48201211400,"Census Tract 2114, Harris County, Texas","Census Tract 2114, Harris County, Texas",tx,140,0,ACSSF,6583,,,,,48,201,,,,211400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4061,2906.901,1.397020372,4061,443,233,445,189,394,584,698,459,354,144,83,35,4061,1524,2259,23,101,0,64,90,2357,710,1647,1038,525,206,98,25,1499,304,185,149,89,55,62,60,66,57,78,76,102,98,27,46,45
48201211500,14000US48201211500,"Census Tract 2115, Harris County, Texas","Census Tract 2115, Harris County, Texas",tx,140,0,ACSSF,6584,,,,,48,201,,,,211500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7121,3050.621,2.334279155,7121,601,721,555,289,862,1176,815,888,646,417,119,32,7121,5886,249,39,0,0,762,185,4093,2134,1959,858,232,47,34,34,1945,170,202,187,103,255,61,85,151,123,168,122,182,78,39,19,0
48201211600,14000US48201211600,"Census Tract 2116, Harris County, Texas","Census Tract 2116, Harris County, Texas",tx,140,0,ACSSF,6585,,,,,48,201,,,,211600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2709,6025.131,0.449616755,2709,168,99,239,85,188,432,329,469,373,147,121,59,2709,1907,468,0,0,0,314,20,1930,755,1175,494,99,0,0,0,1033,219,98,116,104,21,124,40,44,42,62,76,40,47,0,0,0
48201211700,14000US48201211700,"Census Tract 2117, Harris County, Texas","Census Tract 2117, Harris County, Texas",tx,140,0,ACSSF,6586,,,,,48,201,,,,211700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3727,2173.033,1.715114124,3727,275,154,190,166,329,613,466,567,455,265,186,61,3727,1276,2177,0,0,0,182,92,2613,906,1707,758,117,10,0,0,1445,326,153,149,67,121,106,130,80,65,115,102,19,0,12,0,0
48201211900,14000US48201211900,"Census Tract 2119, Harris County, Texas","Census Tract 2119, Harris County, Texas",tx,140,0,ACSSF,6587,,,,,48,201,,,,211900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5056,10496.78,0.48167173,5056,277,313,531,257,567,581,685,508,700,281,260,96,5056,4681,52,21,0,0,232,70,3111,1899,1212,640,145,26,0,0,1521,114,185,263,95,62,149,181,59,63,62,132,89,51,10,6,0
48201212300,14000US48201212300,"Census Tract 2123, Harris County, Texas","Census Tract 2123, Harris County, Texas",tx,140,0,ACSSF,6588,,,,,48,201,,,,212300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5745,4628.665,1.241178724,5745,532,397,465,353,449,786,757,793,573,247,305,88,5745,4982,122,0,0,0,507,134,3549,1758,1791,957,224,20,0,0,1689,138,332,192,185,126,98,131,84,44,14,128,112,30,52,0,23
48201212400,14000US48201212400,"Census Tract 2124, Harris County, Texas","Census Tract 2124, Harris County, Texas",tx,140,0,ACSSF,6589,,,,,48,201,,,,212400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3079,981.5547,3.136860094,3079,192,276,214,110,365,388,307,507,293,263,149,15,3079,2618,153,76,0,0,186,46,1922,959,963,422,91,0,0,0,882,116,114,40,24,126,53,14,108,56,20,111,10,53,25,12,0
48201212500,14000US48201212500,"Census Tract 2125, Harris County, Texas","Census Tract 2125, Harris County, Texas",tx,140,0,ACSSF,6590,,,,,48,201,,,,212500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3714,891.9721,4.163807323,3714,154,413,294,223,202,370,464,403,502,347,239,103,3714,1985,1681,0,10,0,19,19,2428,773,1655,919,316,124,0,0,1374,258,108,134,122,58,93,32,59,73,126,111,163,16,0,0,21
48201220100,14000US48201220100,"Census Tract 2201, Harris County, Texas","Census Tract 2201, Harris County, Texas",tx,140,0,ACSSF,6591,,,,,48,201,,,,220100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204,3217.09,0.685091205,2204,180,177,172,112,218,402,243,226,205,147,68,54,2204,987,1047,0,0,0,170,0,1345,652,693,404,51,18,13,13,711,113,32,93,47,29,74,34,43,10,60,58,64,3,34,12,5
48201220200,14000US48201220200,"Census Tract 2202, Harris County, Texas","Census Tract 2202, Harris County, Texas",tx,140,0,ACSSF,6592,,,,,48,201,,,,220200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637,4626.648,0.569959011,2637,172,139,173,51,311,380,291,428,438,162,59,33,2637,2312,67,29,0,0,182,47,1791,765,1026,482,136,33,3,0,874,41,64,64,133,85,75,19,46,24,45,95,119,28,23,6,7
48201220300,14000US48201220300,"Census Tract 2203, Harris County, Texas","Census Tract 2203, Harris County, Texas",tx,140,0,ACSSF,6593,,,,,48,201,,,,220300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4474,5850.935,0.764664161,4474,421,372,430,115,584,654,558,603,385,269,58,25,4474,3987,69,0,11,0,374,33,2552,1223,1329,678,164,60,29,8,1221,17,101,157,98,59,42,126,80,55,111,131,78,98,25,43,0
48201220400,14000US48201220400,"Census Tract 2204, Harris County, Texas","Census Tract 2204, Harris County, Texas",tx,140,0,ACSSF,6594,,,,,48,201,,,,220400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4217,5732.817,0.735589509,4217,472,378,308,178,335,801,416,405,442,282,119,81,4217,3702,210,0,6,0,274,25,2546,1292,1254,553,93,5,5,5,1229,158,145,158,54,96,41,120,63,7,91,109,54,92,9,9,23
48201220500,14000US48201220500,"Census Tract 2205, Harris County, Texas","Census Tract 2205, Harris County, Texas",tx,140,0,ACSSF,6595,,,,,48,201,,,,220500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3963,4273.044,0.927441749,3963,267,239,137,81,439,423,296,800,475,523,260,23,3963,2999,580,0,65,0,266,53,2800,1378,1422,675,107,38,0,0,1894,443,431,214,100,148,138,41,16,88,76,67,75,17,21,10,9
48201220600,14000US48201220600,"Census Tract 2206, Harris County, Texas","Census Tract 2206, Harris County, Texas",tx,140,0,ACSSF,6596,,,,,48,201,,,,220600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3519,5487.481,0.641277875,3519,227,446,355,176,247,557,544,464,328,129,39,7,3519,2675,552,12,0,0,214,66,2068,913,1155,478,74,24,0,0,1102,177,35,123,89,21,62,78,48,52,30,199,91,61,36,0,0
48201220700,14000US48201220700,"Census Tract 2207, Harris County, Texas","Census Tract 2207, Harris County, Texas",tx,140,0,ACSSF,6597,,,,,48,201,,,,220700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5993,3728.718,1.607254937,5993,555,500,534,286,734,796,694,845,555,356,114,24,5993,4416,1107,0,0,0,459,11,3384,1933,1451,712,84,19,10,0,1818,323,169,233,258,113,174,37,63,58,110,74,72,101,20,0,13
48201220800,14000US48201220800,"Census Tract 2208, Harris County, Texas","Census Tract 2208, Harris County, Texas",tx,140,0,ACSSF,6598,,,,,48,201,,,,220800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2740,4091.068,0.669751752,2740,338,322,234,82,341,296,417,277,238,74,83,38,2740,1012,1544,13,0,0,161,10,1423,715,708,293,70,10,10,0,867,238,51,95,114,72,70,46,71,57,52,0,0,0,0,1,0
48201220900,14000US48201220900,"Census Tract 2209, Harris County, Texas","Census Tract 2209, Harris County, Texas",tx,140,0,ACSSF,6599,,,,,48,201,,,,220900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684,2912.843,0.57812932,1684,126,155,177,54,264,240,166,221,141,121,19,0,1684,1326,145,0,0,0,213,0,908,472,436,130,33,7,7,0,458,53,54,16,30,8,29,41,20,25,44,80,51,0,0,7,0
48201221000,14000US48201221000,"Census Tract 2210, Harris County, Texas","Census Tract 2210, Harris County, Texas",tx,140,0,ACSSF,6600,,,,,48,201,,,,221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3910,4084.051,0.957382814,3910,335,368,383,195,589,401,536,393,376,209,107,18,3910,3141,376,0,0,0,363,30,2040,1101,939,378,105,25,19,0,957,96,99,60,25,83,32,90,68,81,101,44,134,24,20,0,0
48201221100,14000US48201221100,"Census Tract 2211, Harris County, Texas","Census Tract 2211, Harris County, Texas",tx,140,0,ACSSF,6601,,,,,48,201,,,,221100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3557,3009.474,1.181934048,3557,305,267,229,196,455,492,465,568,289,185,56,50,3557,2845,26,80,0,0,472,134,2105,1116,989,369,90,28,27,0,935,78,79,101,87,101,52,99,65,19,97,64,47,35,11,0,0
48201221200,14000US48201221200,"Census Tract 2212, Harris County, Texas","Census Tract 2212, Harris County, Texas",tx,140,0,ACSSF,6602,,,,,48,201,,,,221200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6785,7027.504,0.965492118,6785,624,533,509,372,858,996,937,868,518,386,136,48,6785,6028,161,0,0,0,521,75,3889,1709,2180,609,75,22,0,0,1686,42,62,108,112,191,146,81,197,107,211,161,140,83,14,10,21
48201221300,14000US48201221300,"Census Tract 2213, Harris County, Texas","Census Tract 2213, Harris County, Texas",tx,140,0,ACSSF,6603,,,,,48,201,,,,221300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9013,6801.84,1.325082587,9013,537,995,744,608,820,1516,1311,897,988,449,135,13,9013,8036,131,90,87,0,653,16,5309,2456,2853,993,279,10,0,0,2371,101,77,194,328,169,179,245,166,54,194,220,264,91,48,41,0
48201221400,14000US48201221400,"Census Tract 2214, Harris County, Texas","Census Tract 2214, Harris County, Texas",tx,140,0,ACSSF,6604,,,,,48,201,,,,221400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5972,7659.423,0.779693188,5972,609,404,459,262,916,975,715,778,456,269,96,33,5972,5385,160,8,0,0,419,0,3322,1930,1392,456,87,46,22,0,1856,302,185,243,185,130,132,67,146,68,113,141,111,12,14,0,7
48201221500,14000US48201221500,"Census Tract 2215, Harris County, Texas","Census Tract 2215, Harris County, Texas",tx,140,0,ACSSF,6605,,,,,48,201,,,,221500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9175,10512.37,0.87278165,9175,1016,1282,828,453,1080,1423,1061,936,704,208,121,63,9175,7256,979,0,57,0,717,166,4516,2248,2268,785,161,9,9,0,2616,408,217,290,275,334,172,138,68,168,168,118,140,120,0,0,0
48201221600,14000US48201221600,"Census Tract 2216, Harris County, Texas","Census Tract 2216, Harris County, Texas",tx,140,0,ACSSF,6606,,,,,48,201,,,,221600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9728,4373.949,2.2240771,9728,662,880,1010,621,908,1256,1888,890,759,481,267,106,9728,8943,354,0,0,0,302,129,5647,2823,2824,1121,221,26,0,0,2506,230,199,35,13,249,198,147,93,171,343,266,261,167,48,69,17
48201221700,14000US48201221700,"Census Tract 2217, Harris County, Texas","Census Tract 2217, Harris County, Texas",tx,140,0,ACSSF,6607,,,,,48,201,,,,221700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8132,3958.75,2.054183649,8132,778,530,813,479,572,1581,1251,865,750,359,107,47,8132,7896,17,0,0,0,151,68,4960,3310,1650,576,58,0,0,0,2194,250,106,216,161,96,232,85,240,207,307,121,117,40,16,0,0
48201221800,14000US48201221800,"Census Tract 2218, Harris County, Texas","Census Tract 2218, Harris County, Texas",tx,140,0,ACSSF,6608,,,,,48,201,,,,221800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4151,3421.731,1.213128787,4151,444,516,493,209,278,547,787,307,346,170,46,8,4151,3873,20,0,26,0,232,0,2211,1425,786,353,121,50,0,0,1096,55,90,117,104,86,108,150,21,118,46,84,92,0,0,25,0
48201221900,14000US48201221900,"Census Tract 2219, Harris County, Texas","Census Tract 2219, Harris County, Texas",tx,140,0,ACSSF,6609,,,,,48,201,,,,221900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4347,4227.273,1.028322525,4347,403,364,437,251,351,882,510,355,421,279,40,54,4347,3713,63,0,0,0,526,45,2541,1315,1226,382,83,25,19,0,1202,162,127,64,78,105,25,37,86,85,69,134,181,11,38,0,0
48201222000,14000US48201222000,"Census Tract 2220, Harris County, Texas","Census Tract 2220, Harris County, Texas",tx,140,0,ACSSF,6610,,,,,48,201,,,,222000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493,5681.103,0.438823269,2493,195,168,191,139,350,435,323,381,182,63,30,36,2493,1945,145,37,0,0,327,39,1450,687,763,274,20,0,0,0,594,10,9,62,57,62,42,47,36,14,32,105,80,32,6,0,0
48201222100,14000US48201222100,"Census Tract 2221, Harris County, Texas","Census Tract 2221, Harris County, Texas",tx,140,0,ACSSF,6611,,,,,48,201,,,,222100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5529,6266.572,0.882300613,5529,596,474,458,290,512,960,646,570,599,235,168,21,5529,4647,73,47,0,0,762,0,3199,1486,1713,576,85,0,0,0,1354,161,68,131,135,166,133,21,81,38,132,59,178,22,20,9,0
48201222200,14000US48201222200,"Census Tract 2222, Harris County, Texas","Census Tract 2222, Harris County, Texas",tx,140,0,ACSSF,6612,,,,,48,201,,,,222200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3481,3023.899,1.151162863,3481,316,254,221,206,494,469,577,375,290,159,80,40,3481,2787,289,44,0,0,286,75,1990,1054,936,345,91,8,0,0,1006,113,168,64,84,66,22,47,60,24,95,67,115,26,26,29,0
48201222300,14000US48201222300,"Census Tract 2223, Harris County, Texas","Census Tract 2223, Harris County, Texas",tx,140,0,ACSSF,6613,,,,,48,201,,,,222300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4488,2327.06,1.928613955,4488,367,520,256,286,570,638,553,672,413,128,80,5,4488,4199,141,0,82,0,60,6,2489,1343,1146,387,42,0,0,0,1104,86,93,66,62,129,96,47,147,5,63,102,115,66,27,0,0
48201222401,14000US48201222401,"Census Tract 2224.01, Harris County, Texas","Census Tract 2224.01, Harris County, Texas",tx,140,0,ACSSF,6614,,,,,48,201,,,,222401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3053,1564.512,1.951407497,3053,249,416,196,138,329,453,481,386,264,99,36,6,3053,2828,13,13,31,0,134,34,1725,907,818,170,31,11,4,0,897,35,78,68,90,105,44,84,49,39,131,33,91,28,14,0,8
48201222402,14000US48201222402,"Census Tract 2224.02, Harris County, Texas","Census Tract 2224.02, Harris County, Texas",tx,140,0,ACSSF,6615,,,,,48,201,,,,222402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6617,4211.868,1.571037009,6617,892,601,503,403,688,1014,794,562,719,294,59,88,6617,6023,194,38,0,0,239,123,3530,1875,1655,447,105,68,37,13,1491,55,91,209,164,121,85,117,62,56,95,140,195,54,9,32,6
48201222501,14000US48201222501,"Census Tract 2225.01, Harris County, Texas","Census Tract 2225.01, Harris County, Texas",tx,140,0,ACSSF,6616,,,,,48,201,,,,222501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810,10850.17,0.351146415,3810,511,390,451,221,371,488,699,345,137,146,38,13,3810,3531,104,0,0,0,133,42,1866,1244,622,229,46,16,0,0,1009,111,136,126,118,83,59,51,103,65,18,83,20,27,4,5,0
48201222502,14000US48201222502,"Census Tract 2225.02, Harris County, Texas","Census Tract 2225.02, Harris County, Texas",tx,140,0,ACSSF,6617,,,,,48,201,,,,222502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093,3116.116,1.313494117,4093,264,466,388,220,430,670,418,460,491,163,89,34,4093,3564,191,86,113,0,111,28,2325,1027,1298,533,75,0,0,0,1023,49,63,94,107,124,19,71,36,17,46,168,133,59,31,0,6
48201222503,14000US48201222503,"Census Tract 2225.03, Harris County, Texas","Census Tract 2225.03, Harris County, Texas",tx,140,0,ACSSF,6618,,,,,48,201,,,,222503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7462,11322.23,0.659057494,7462,950,795,828,437,1134,739,997,787,385,291,100,19,7462,7039,152,0,62,0,151,58,3318,2150,1168,442,55,0,0,0,1794,103,313,212,115,221,152,121,104,51,138,76,149,26,8,5,0
48201222600,14000US48201222600,"Census Tract 2226, Harris County, Texas","Census Tract 2226, Harris County, Texas",tx,140,0,ACSSF,6619,,,,,48,201,,,,222600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4984,4925.217,1.01193519,4984,773,582,253,95,443,1488,435,300,353,197,47,18,4984,3912,663,6,115,0,190,98,2838,1451,1387,668,269,67,32,0,1959,276,283,196,304,202,137,140,75,27,101,199,10,9,0,0,0
48201222700,14000US48201222700,"Census Tract 2227, Harris County, Texas","Census Tract 2227, Harris County, Texas",tx,140,0,ACSSF,6620,,,,,48,201,,,,222700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5422,1983.054,2.734166336,5422,750,694,471,253,859,684,358,489,466,279,102,17,5422,1152,3794,0,99,0,297,80,2395,568,1827,976,192,82,0,0,2037,701,210,166,153,122,199,69,75,44,7,162,85,21,11,12,0
48201222800,14000US48201222800,"Census Tract 2228, Harris County, Texas","Census Tract 2228, Harris County, Texas",tx,140,0,ACSSF,6621,,,,,48,201,,,,222800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2878,1107.791,2.59796416,2878,269,287,220,150,388,479,329,272,299,94,77,14,2878,2602,0,16,65,0,156,39,1564,987,577,293,83,32,32,25,813,52,91,30,51,116,56,52,53,37,63,93,50,29,24,14,2
48201222900,14000US48201222900,"Census Tract 2229, Harris County, Texas","Census Tract 2229, Harris County, Texas",tx,140,0,ACSSF,6622,,,,,48,201,,,,222900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8369,3737.128,2.239420028,8369,535,1028,856,416,891,1449,791,1146,569,453,201,34,8369,7169,430,238,13,0,492,27,4643,2212,2431,1053,50,0,0,0,1991,81,144,177,185,167,63,169,72,126,156,133,399,91,14,0,14
